date,max_temp_c,min_temp_c,rainfall_mm
2025-11-18,31.0,23.4,10.5
2025-11-19,30.3,24.0,18.5
2025-11-20,28.5,23.1,17.7
2025-11-21,30.0,23.6,22.1
2025-11-22,31.7,24.0,14.5
2025-11-23,29.0,23.7,20.7
2025-11-24,26.9,23.9,59.7
2025-11-25,29.1,23.3,19.3
2025-11-26,31.3,24.0,6.4
2025-11-27,27.3,23.3,52.0
2025-11-28,24.9,21.8,36.8
2025-11-29,30.6,22.6,0.2
